AgencyID,AgencyName,AgencyType,PhysicalCity,PhysicalZIPCode,Countyname,JurisdictionName,ReportingYear,ReportingType,AgencyStatus,ReportStatus,TotalNumberOfFacilities,DisposalTons,NumberOfEmployees,EmployeeDisposalRate,EmployeeDisposalRateTarget,NonEmployeePopulationType,NonEmployeeDisposalRate,NonEmployeeDisposalRateTarget,Comments
431,Richard J. Donovan Correctional Facility,Correctional,San Diego,92179,San Diego,San Diego-Unincorporated,2012,Full,Active,Submitted,1,1218,1441,4.63,5.5,Inmates,1.76,1.2,
431,Richard J. Donovan Correctional Facility,Correctional,San Diego,92179,San Diego,San Diego-Unincorporated,2013,Full,Active,Submitted,1,1455.13,3128,2.55,5.5,Inmates,2.28,1.2,
431,Richard J. Donovan Correctional Facility,Correctional,San Diego,92179,San Diego,San Diego-Unincorporated,2014,Full,Active,Submitted,,1057.28,1530,3.79,5.5,Inmates,1.84,1.2,
432,Rio Hondo College,Community College,Whittier,90601,Los Angeles,Whittier,2011,Full,Active,Submitted,1,311.33,1143,1.49,6.4,Students,0.06,0.1,
433,Riverside Community College District,Community College,Riverside,92507,Riverside,Riverside,2011,Full,Active,Submitted,5,822.57,2042,2.21,1.8,Students,0.05,0.1,
434,Sacramento City College,Community College,Sacramento,95822,Sacramento,Sacramento,2011,Full,Active,Submitted,2,246.6,1308,1.03,1.4,Students,0.06,0.1,
436,Saddleback College,Community College,Mission Viejo,92692,Orange,Mission Viejo,2011,Full,Active,Submitted,1,1578.86,1803,4.8,26.7,Students,0.3,0.5,
437,Salinas Valley State Prison,Correctional,Soledad,93960,Monterey,Soledad,2011,Full,Active,Submitted,,1182.21,1505,4.3,6.2,Inmates,1.63,1.8,
437,Salinas Valley State Prison,Correctional,Soledad,93960,Monterey,Soledad,2012,Full,Active,Submitted,,1128.97,1573,3.93,6.2,Inmates,1.71,1.8,
437,Salinas Valley State Prison,Correctional,Soledad,93960,Monterey,Soledad,2013,Full,Active,Submitted,,1092.43,1573,3.81,6.2,Inmates,1.77,1.8,
437,Salinas Valley State Prison,Correctional,Soledad,93960,Monterey,Soledad,2014,Full,Active,Submitted,,1166.8499999999999,1500,4.26,6.2,Inmates,1.79,1.8,
438,San Bernardino Valley College,Community College,San Bernardino,92410,San Bernardino,San Bernardino-Unincorporated,2011,Full,Active,Submitted,1,3371,407,45.38,60,Students,0.96,1.7,
439,San Diego City College,Community College,San Diego,92101-4787,San Diego,San Diego,2011,Full,Active,Submitted,,170.4,1235,0.76,4.7,Students,0.05,0.2,
440,San Diego Community College (Continuing Education),Community College,San Diego,92113-1915,San Diego,San Diego,2011,Full,Active,Submitted,6,85.57,1436,0.33,2.7,Students,0.01,0,
441,San Diego Community College District Office,Community College,San Diego,92108-3883,San Diego,San Diego,2011,Full,Active,Submitted,2,13.34,376,0.19,1.8,Students,0.73,6.2,
442,San Diego State University,California State University,San Diego,92182,San Diego,San Diego-Unincorporated,2011,Full,Active,Submitted,1,2476,3861,3.51,8.5,Students,0.42,0.9,
442,San Diego State University,California State University,San Diego,92182,San Diego,San Diego-Unincorporated,2012,Full,Active,Submitted,1,2541.69,3905,3.57,8.5,Students,0.41,0.9,
442,San Diego State University,California State University,San Diego,92182,San Diego,San Diego-Unincorporated,2013,Full,Active,Submitted,1,2541.6999999999998,5813,2.4,8.5,Students,0.52,0.9,
442,San Diego State University,California State University,San Diego,92182,San Diego,San Diego-Unincorporated,2014,Full,Active,Submitted,1,2222.92,3647,3.34,8.5,Students,0.43,0.9,
445,San Francisco State University,California State University,San Francisco,94132,San Francisco,San Francisco,2011,Full,Active,Submitted,,458,3544,0.71,4,Students,0.08,0.5,
445,San Francisco State University,California State University,San Francisco,94132,San Francisco,San Francisco,2012,Full,Active,Submitted,1,1700,3554,2.62,4,Students,0.32,0.5,
445,San Francisco State University,California State University,San Francisco,94132,San Francisco,San Francisco,2013,Full,Active,Submitted,1,4141.6899999999996,3707,6.12,4,Students,0.76,0.5,
445,San Francisco State University,California State University,San Francisco,94132,San Francisco,San Francisco,2014,Full,Active,Submitted,1,1510,3261,2.54,4,Students,0.28,0.5,
446,San Joaquin Delta College,Community College,Stockton,95207,San Joaquin,Stockton,2011,Modified,Active,Submitted,3,489.61,1851,1.45,1.8,Students,0.18,0.2,
448,San Jose City College,Community College,San Jose,95128-2799,Santa Clara,San Jose,2011,Full,Active,Submitted,,152.77000000000001,491,1.7,24.5,Students,0.04,0.6,
449,San Jose State University,California State University,San Jose,95192-0010,Santa Clara,San Jose,2011,Full,Active,Submitted,4,471.18,3819,0.68,3.8,Students,0.11,0.4,
449,San Jose State University,California State University,San Jose,95192-0010,Santa Clara,San Jose,2012,Full,Active,Submitted,4,471.09,3421,0.75,3.8,Students,0.11,0.4,
449,San Jose State University,California State University,San Jose,95192-0010,Santa Clara,San Jose,2013,Full,Active,Submitted,4,429.6,3552,0.66,3.8,Students,0,0.4,
449,San Jose State University,California State University,San Jose,95192-0010,Santa Clara,San Jose,2014,Full,Active,Submitted,4,302.83999999999997,3190,0.52,3.8,Students,0.06,0.4,
